DATE,ACTUAL RAINFALL (mm)
26-12-2018,0.02
27-12-2018,0.02
28-12-2018,0.05
29-12-2018,0.27
30-12-2018,0.04
31-12-2018,0
01-01-2019,0
02-01-2019,0.1
03-01-2019,0.05
04-01-2019,0.16
05-01-2019,0.51
06-01-2019,0.2
07-01-2019,0.35
08-01-2019,0.01
09-01-2019,0.01
10-01-2019,0.08
11-01-2019,0.28
12-01-2019,0.06
13-01-2019,0.25
14-01-2019,0.05
15-01-2019,0
16-01-2019,0.01
17-01-2019,0.12
18-01-2019,0
19-01-2019,0.18
20-01-2019,0.25
21-01-2019,1.26
22-01-2019,2.71
23-01-2019,1.95
24-01-2019,0.39
25-01-2019,1.2
26-01-2019,2.34
27-01-2019,0.99
28-01-2019,1.07
29-01-2019,0.54
30-01-2019,0.27
31-01-2019,0.32
01-02-2019,0.52
02-02-2019,0.16
03-02-2019,0.03
04-02-2019,0.68
05-02-2019,0.03
06-02-2019,0.55
07-02-2019,2.28
08-02-2019,2.6
09-02-2019,1.21
10-02-2019,0.63
11-02-2019,0.51
12-02-2019,0.22
13-02-2019,0.62
14-02-2019,1.13
15-02-2019,1.7
16-02-2019,2.91
17-02-2019,0.77
18-02-2019,1.28
19-02-2019,1.31
20-02-2019,0.73
21-02-2019,1.38
22-02-2019,1.37
23-02-2019,0.17
24-02-2019,0.61
25-02-2019,1.29
26-02-2019,1.52
27-02-2019,2.17
28-02-2019,2.03
01-03-2019,0.89
02-03-2019,0.34
03-03-2019,1.93
04-03-2019,0.65
05-03-2019,1.34
06-03-2019,2.07
07-03-2019,0.76
08-03-2019,0.07
09-03-2019,1.31
10-03-2019,1.62
11-03-2019,0.31
12-03-2019,0.99
13-03-2019,0.29
14-03-2019,1.46
15-03-2019,1.47
16-03-2019,0.67
17-03-2019,2.11
18-03-2019,0.6
19-03-2019,1.75
20-03-2019,2.5
21-03-2019,1.93
22-03-2019,0.5
23-03-2019,0.88
24-03-2019,0.45
25-03-2019,0.81
26-03-2019,0.54
27-03-2019,0.59
28-03-2019,0.35
29-03-2019,0.1
30-03-2019,0.24
31-03-2019,1.36
01-04-2019,1.91
02-04-2019,0.58
03-04-2019,2.48
04-04-2019,0.19
05-04-2019,4.67
06-04-2019,7.06
07-04-2019,2.95
08-04-2019,1.99
09-04-2019,1.62
10-04-2019,1.98
11-04-2019,0.09
12-04-2019,0.33
13-04-2019,0.28
14-04-2019,0.44
15-04-2019,0.54
16-04-2019,1.34
17-04-2019,2.52
18-04-2019,2.51
19-04-2019,0.89
20-04-2019,1.08
21-04-2019,1.76
22-04-2019,1.37
23-04-2019,0.95
24-04-2019,1.01
25-04-2019,1.85
26-04-2019,1.78
27-04-2019,0.27
28-04-2019,1.35
29-04-2019,2.87
30-04-2019,3.8
01-05-2019,4.43
02-05-2019,3.08
03-05-2019,5.37
04-05-2019,6.88
05-05-2019,3.77
06-05-2019,1.32
07-05-2019,1.8
08-05-2019,1.6
09-05-2019,1.79
10-05-2019,1.16
11-05-2019,2.7
12-05-2019,1.28
13-05-2019,2.3
14-05-2019,2.83
15-05-2019,2.45
16-05-2019,4.77
17-05-2019,2.51
18-05-2019,2.56
19-05-2019,1.04
20-05-2019,0.72
21-05-2019,0.87
22-05-2019,1.11
23-05-2019,2.62
24-05-2019,3.63
25-05-2019,2.88
26-05-2019,2.59
27-05-2019,1.99
28-05-2019,0.78
29-05-2019,1.92
30-05-2019,1.3
31-05-2019,2.43
01-06-2019,2.07
02-06-2019,2.22
03-06-2019,4.01
04-06-2019,3.54
05-06-2019,1.81
06-06-2019,2.17
07-06-2019,3.48
08-06-2019,1.86
09-06-2019,2
10-06-2019,3.52
11-06-2019,2.49
12-06-2019,6.23
13-06-2019,41.31
14-06-2019,65.69
15-06-2019,38.4
16-06-2019,5.83
17-06-2019,6.79
18-06-2019,9.96
19-06-2019,10.83
20-06-2019,7.5
21-06-2019,5.93
22-06-2019,10.12
23-06-2019,10.82
24-06-2019,8.52
25-06-2019,7.02
26-06-2019,13.56
27-06-2019,9.43
28-06-2019,18.51
29-06-2019,9.79
30-06-2019,13.6
01-07-2019,8.81
02-07-2019,8.48
03-07-2019,10.42
04-07-2019,7.55
05-07-2019,11.47
06-07-2019,14.88
07-07-2019,15.95
08-07-2019,11.18
09-07-2019,11.83
10-07-2019,11.87
11-07-2019,11.48
12-07-2019,8.79
13-07-2019,7.26
14-07-2019,8.03
15-07-2019,6.96
16-07-2019,4.85
17-07-2019,3
18-07-2019,3.65
19-07-2019,5.69
20-07-2019,8.15
21-07-2019,10.75
22-07-2019,11.05
23-07-2019,9.3
24-07-2019,7.1
25-07-2019,14.48
26-07-2019,16.11
27-07-2019,15.8
28-07-2019,15.14
29-07-2019,21.38
30-07-2019,17.62
31-07-2019,17.23
01-08-2019,15.21
02-08-2019,14.73
03-08-2019,18.91
04-08-2019,23.94
05-08-2019,15.67
06-08-2019,12.17
07-08-2019,19.02
08-08-2019,20.31
09-08-2019,31.91
10-08-2019,37.17
11-08-2019,18.87
12-08-2019,5.01
13-08-2019,8.92
14-08-2019,14.88
15-08-2019,19.83
16-08-2019,17.51
17-08-2019,9.78
18-08-2019,15.45
19-08-2019,9.07
20-08-2019,7.65
21-08-2019,6.97
22-08-2019,7.22
23-08-2019,7.4
24-08-2019,7.38
25-08-2019,7.72
26-08-2019,21.26
27-08-2019,28.62
28-08-2019,30.96
29-08-2019,26.79
30-08-2019,14.04
31-08-2019,29.38
01-09-2019,33.48
02-09-2019,34.89
03-09-2019,17.37
04-09-2019,20.87
05-09-2019,37.41
06-09-2019,31.79
07-09-2019,34.1
08-09-2019,40.65
09-09-2019,23.08
10-09-2019,22.21
11-09-2019,21.05
12-09-2019,25.48
13-09-2019,24.23
14-09-2019,14.28
15-09-2019,23.4
16-09-2019,26.1
17-09-2019,29.77
18-09-2019,30.42
19-09-2019,20.64
20-09-2019,9.51
21-09-2019,7.88
22-09-2019,17.08
23-09-2019,21.76
24-09-2019,22.33
25-09-2019,53.22
26-09-2019,40.99
27-09-2019,26.14
28-09-2019,44.98
29-09-2019,42.49
30-09-2019,36.92
01-10-2019,19.66
02-10-2019,27.99
03-10-2019,15.99
04-10-2019,38.42
05-10-2019,11.67
06-10-2019,6.34
07-10-2019,6.54
08-10-2019,6.44
09-10-2019,7.33
10-10-2019,5.67
11-10-2019,3.21
12-10-2019,5.09
13-10-2019,2.85
14-10-2019,2.42
15-10-2019,0.87
16-10-2019,2.36
17-10-2019,2.31
18-10-2019,2.53
19-10-2019,4.76
20-10-2019,4.85
21-10-2019,7.33
22-10-2019,4.99
23-10-2019,3.02
24-10-2019,9.74
25-10-2019,11.8
26-10-2019,7.85
27-10-2019,4.48
28-10-2019,3.41
29-10-2019,4.39
30-10-2019,13.72
31-10-2019,6.14
01-11-2019,1.88
02-11-2019,3.8
03-11-2019,5.45
04-11-2019,1.07
05-11-2019,3.86
06-11-2019,6.38
07-11-2019,12.68
08-11-2019,19.15
09-11-2019,24.93
10-11-2019,7.68
11-11-2019,32.37
12-11-2019,3.28
13-11-2019,1.3
14-11-2019,3.28
15-11-2019,5.27
16-11-2019,12.02
17-11-2019,23.77
18-11-2019,1.79
19-11-2019,1.44
20-11-2019,0.66
21-11-2019,8.63
22-11-2019,21.44
23-11-2019,8.92
24-11-2019,14.13
25-11-2019,6.11
26-11-2019,0.77
27-11-2019,5.55
28-11-2019,15.19
29-11-2019,10.87
30-11-2019,7.85
01-12-2019,16.41
02-12-2019,5.99
03-12-2019,2.81
04-12-2019,4
05-12-2019,3.35
06-12-2019,1.96
07-12-2019,1.55
08-12-2019,2
09-12-2019,2.52
10-12-2019,3.26
11-12-2019,0.96
12-12-2019,6.76
13-12-2019,14.72
14-12-2019,20.95
15-12-2019,20.19
16-12-2019,6.55
17-12-2019,8.01
18-12-2019,2.31
19-12-2019,2.03
20-12-2019,1.4
21-12-2019,0.31
22-12-2019,0.16
23-12-2019,0.22
24-12-2019,0.18
25-12-2019,0.78
26-12-2019,1.83
27-12-2019,2.35
28-12-2019,2.34
29-12-2019,11.59
30-12-2019,15.51
31-12-2019,8.36
01-01-2020,9.22
02-01-2020,7.58
03-01-2020,19.12
04-01-2020,14.99
05-01-2020,37.03
06-01-2020,7.01
07-01-2020,5.59
08-01-2020,15.63
09-01-2020,12.21
10-01-2020,4.84
11-01-2020,7.11
12-01-2020,31.46
13-01-2020,2.59
14-01-2020,7.42
15-01-2020,10.88
16-01-2020,3.19
17-01-2020,6.94
18-01-2020,10.2
19-01-2020,39.48
20-01-2020,12.5
21-01-2020,4.24
22-01-2020,9.73
23-01-2020,9.07
24-01-2020,3.97
25-01-2020,0.01
26-01-2020,0
27-01-2020,0
28-01-2020,0.53
29-01-2020,4.09
30-01-2020,0.57
31-01-2020,0.55
01-02-2020,0.04
02-02-2020,0
03-02-2020,0.1
04-02-2020,0.28
05-02-2020,0.44
06-02-2020,0.24
07-02-2020,0.6
08-02-2020,0
09-02-2020,0
10-02-2020,0.05
11-02-2020,0
12-02-2020,0
13-02-2020,0
14-02-2020,1.46
15-02-2020,1.22
16-02-2020,0
17-02-2020,1.73
18-02-2020,8.32
19-02-2020,2.38
20-02-2020,7.98
21-02-2020,27.19
22-02-2020,0.94
23-02-2020,0.71
24-02-2020,1.83
25-02-2020,10.37
26-02-2020,8.95
27-02-2020,0
28-02-2020,0
29-02-2020,0
01-03-2020,0
02-03-2020,0.55
03-03-2020,0.49
04-03-2020,0.96
05-03-2020,2.73
06-03-2020,6.56
07-03-2020,7.34
08-03-2020,1.45
09-03-2020,0.12
10-03-2020,0
11-03-2020,4.32
12-03-2020,0.83
13-03-2020,0.61
14-03-2020,5.07
15-03-2020,4.59
16-03-2020,0.63
17-03-2020,0.02
18-03-2020,0.91
19-03-2020,0.82
20-03-2020,1.37
21-03-2020,1.38
22-03-2020,1.8
23-03-2020,1.4
24-03-2020,3.89
25-03-2020,0.68
26-03-2020,0.04
27-03-2020,0.23
28-03-2020,0.08
29-03-2020,0
30-03-2020,0.04
31-03-2020,0.02
01-04-2020,0.02
02-04-2020,0.23
03-04-2020,1.13
04-04-2020,0.09
05-04-2020,4.96
06-04-2020,0.04
07-04-2020,0.01
08-04-2020,1.04
09-04-2020,0.02
10-04-2020,1.43
11-04-2020,0.81
12-04-2020,0.17
13-04-2020,0
14-04-2020,0
15-04-2020,1.56
16-04-2020,3.79
17-04-2020,0
18-04-2020,1.35
19-04-2020,0.91
20-04-2020,3.09
21-04-2020,0.92
22-04-2020,1.36
23-04-2020,3.11
24-04-2020,3.38
25-04-2020,1.99
26-04-2020,3.13
27-04-2020,28.9
28-04-2020,18.16
29-04-2020,17.69
30-04-2020,13.47
01-05-2020,43.53
02-05-2020,14.31
03-05-2020,26.77
04-05-2020,21.12
05-05-2020,44.26
06-05-2020,29.62
07-05-2020,73.58
08-05-2020,40.61
09-05-2020,26.98
10-05-2020,21.74
11-05-2020,18.7
12-05-2020,23.98
13-05-2020,14.43
14-05-2020,15.73
15-05-2020,17.37
16-05-2020,10.2
17-05-2020,52.7
18-05-2020,11.54
19-05-2020,53.34
20-05-2020,50.37
21-05-2020,20.95
22-05-2020,7.19
23-05-2020,4.57
24-05-2020,54.05
25-05-2020,72.63
26-05-2020,29.8
27-05-2020,13.26
28-05-2020,9.22
29-05-2020,23.32
30-05-2020,16.72
31-05-2020,5.47
01-06-2020,8.46
02-06-2020,14.19
03-06-2020,16.83
04-06-2020,12.35
05-06-2020,7.68
06-06-2020,6.02
07-06-2020,3.5
08-06-2020,2.8
09-06-2020,3.42
10-06-2020,1.86
11-06-2020,7.96
12-06-2020,5.78
13-06-2020,6.5
14-06-2020,6.82
15-06-2020,7.31
16-06-2020,9.72
17-06-2020,16.73
18-06-2020,16.23
19-06-2020,14.76
20-06-2020,10.12
21-06-2020,6.42
22-06-2020,7.57
23-06-2020,6.89
24-06-2020,6.02
25-06-2020,7.68
26-06-2020,15.83
27-06-2020,8.15
28-06-2020,6.56
29-06-2020,12.76
30-06-2020,7.49
01-07-2020,6.43
02-07-2020,4.73
03-07-2020,15.12
04-07-2020,8.11
05-07-2020,28.69
06-07-2020,26.13
07-07-2020,12.14
08-07-2020,9.66
09-07-2020,18.08
10-07-2020,11.19
11-07-2020,9.48
12-07-2020,9.94
13-07-2020,12.1
14-07-2020,9.55
15-07-2020,11.56
16-07-2020,14.52
17-07-2020,14.9
18-07-2020,12.07
19-07-2020,18.37
20-07-2020,20.65
21-07-2020,15.61
22-07-2020,10.61
23-07-2020,64.71
24-07-2020,15.36
25-07-2020,10.35
26-07-2020,9.57
27-07-2020,11.62
28-07-2020,11.85
29-07-2020,26.17
30-07-2020,15.21
31-07-2020,11.49
01-08-2020,19.18
02-08-2020,12.25
03-08-2020,10.31
04-08-2020,13.38
05-08-2020,27.27
06-08-2020,19.18
07-08-2020,8.53
08-08-2020,10.93
09-08-2020,14.29
10-08-2020,17.23
11-08-2020,10.12
12-08-2020,14.42
13-08-2020,17.09
14-08-2020,15.48
15-08-2020,14.15
16-08-2020,13.41
17-08-2020,11.5
18-08-2020,8.07
19-08-2020,9.68
20-08-2020,14.43
21-08-2020,14.94
22-08-2020,12.68
23-08-2020,12.4
24-08-2020,18.53
25-08-2020,15.66
26-08-2020,13.99
27-08-2020,24.16
28-08-2020,16.25
29-08-2020,16.45
30-08-2020,23.83
31-08-2020,12.79
01-09-2020,7.92
02-09-2020,14.61
03-09-2020,19.66
04-09-2020,11.58
05-09-2020,4.06
06-09-2020,4.57
07-09-2020,9.18
08-09-2020,7.25
09-09-2020,5.13
10-09-2020,16.73
11-09-2020,15.05
12-09-2020,14.53
13-09-2020,11.3
14-09-2020,18.72
15-09-2020,36.03
16-09-2020,15.3
17-09-2020,29.62
18-09-2020,15.79
19-09-2020,27.58
20-09-2020,14.84
21-09-2020,15.66
22-09-2020,17.78
23-09-2020,13
24-09-2020,13.31
25-09-2020,13.78
26-09-2020,22.88
27-09-2020,7.49
28-09-2020,4.41
29-09-2020,2.02
30-09-2020,3.59
01-10-2020,4.84
02-10-2020,4.77
03-10-2020,6.64
04-10-2020,12.7
05-10-2020,16.67
06-10-2020,18.69
07-10-2020,8.14
08-10-2020,4.98
09-10-2020,5.1
10-10-2020,5.98
11-10-2020,9.65
12-10-2020,4.88
13-10-2020,4.47
14-10-2020,11.34
15-10-2020,4.87
16-10-2020,4.63
17-10-2020,2.23
18-10-2020,4.05
19-10-2020,4.25
20-10-2020,3.29
21-10-2020,3.14
22-10-2020,2.91
23-10-2020,3.14
24-10-2020,3.05
25-10-2020,1.54
26-10-2020,0.66
27-10-2020,0.42
28-10-2020,0.81
29-10-2020,0.98
30-10-2020,0.15
31-10-2020,1.19
01-11-2020,7.77
02-11-2020,1
03-11-2020,5.46
04-11-2020,3.73
05-11-2020,2.67
06-11-2020,0.76
07-11-2020,0.37
08-11-2020,1.3
09-11-2020,0.16
10-11-2020,0
11-11-2020,0.99
12-11-2020,2.04
13-11-2020,2.29
14-11-2020,0.89
15-11-2020,4.61
16-11-2020,12.35
17-11-2020,2.13
18-11-2020,1.88
19-11-2020,1.18
20-11-2020,1.28
21-11-2020,0.8
22-11-2020,2.03
23-11-2020,1.18
24-11-2020,0.1
25-11-2020,1.13
26-11-2020,4.17
27-11-2020,3.41
28-11-2020,1.33
29-11-2020,0.95
30-11-2020,0.16
01-12-2020,0.01
02-12-2020,0.11
03-12-2020,1.43
04-12-2020,1.94
05-12-2020,1.24
06-12-2020,0.57
07-12-2020,1.41
08-12-2020,0.97
09-12-2020,1.04
10-12-2020,0.16
11-12-2020,0.43
12-12-2020,1.33
13-12-2020,0.21
14-12-2020,0.14
15-12-2020,0.12
16-12-2020,0.64
17-12-2020,0.72
18-12-2020,0.62
19-12-2020,0.25
20-12-2020,0
21-12-2020,0
22-12-2020,0
23-12-2020,0
24-12-2020,0.04
25-12-2020,0
26-12-2020,0
27-12-2020,0
28-12-2020,0
29-12-2020,0.11
30-12-2020,0
31-12-2020,1.36
01-01-2021,1.16
02-01-2021,0.11
03-01-2021,0.03
04-01-2021,6.08
05-01-2021,2.52
06-01-2021,2.25
07-01-2021,3.87
08-01-2021,2.19
09-01-2021,1.38
10-01-2021,0.05
11-01-2021,0.94
12-01-2021,0.43
13-01-2021,1.9
14-01-2021,1.79
15-01-2021,0.33
16-01-2021,0.13
17-01-2021,0.06
18-01-2021,1.3
19-01-2021,0.87
20-01-2021,1.18
21-01-2021,0.79
22-01-2021,0.14
23-01-2021,0.09
24-01-2021,2.07
25-01-2021,0
26-01-2021,0
27-01-2021,0.01
28-01-2021,0.21
29-01-2021,0.17
30-01-2021,0.3
31-01-2021,0.06
01-02-2021,0.01
02-02-2021,0
03-02-2021,0
04-02-2021,1.35
05-02-2021,1.81
06-02-2021,2.03
07-02-2021,9.44
08-02-2021,2.42
09-02-2021,1.05
10-02-2021,0.39
11-02-2021,0.85
12-02-2021,0.74
13-02-2021,4.21
14-02-2021,4.59
15-02-2021,0.57
16-02-2021,0.38
17-02-2021,1.53
18-02-2021,1.29
19-02-2021,1.38
20-02-2021,2.29
21-02-2021,6.32
22-02-2021,0.95
23-02-2021,1.12
24-02-2021,0.02
25-02-2021,1.14
26-02-2021,2.46
27-02-2021,2.86
28-02-2021,2.03
01-03-2021,4.13
02-03-2021,6.26
03-03-2021,0.43
04-03-2021,0.14
05-03-2021,4.49
06-03-2021,0.98
07-03-2021,27.62
08-03-2021,10.11
09-03-2021,0.48
10-03-2021,1.09
11-03-2021,0.75
12-03-2021,2.24
13-03-2021,13.47
14-03-2021,3.16
15-03-2021,0.65
16-03-2021,2.03
17-03-2021,0.11
18-03-2021,0.53
19-03-2021,1.52
20-03-2021,1.3
21-03-2021,4.54
22-03-2021,2.68
23-03-2021,14.18
24-03-2021,0.48
25-03-2021,4.53
26-03-2021,1.86
27-03-2021,0.11
28-03-2021,1.44
29-03-2021,0.6
30-03-2021,2.31
31-03-2021,1.58
01-04-2021,0.83
02-04-2021,0.46
03-04-2021,0.24
04-04-2021,2.73
05-04-2021,2.54
06-04-2021,6.15
07-04-2021,6.42
08-04-2021,10.45
09-04-2021,1.94
10-04-2021,13.02
11-04-2021,7.02
12-04-2021,6.28
13-04-2021,9.89
14-04-2021,4.4
15-04-2021,6.63
16-04-2021,1.11
17-04-2021,1.92
18-04-2021,0.6
19-04-2021,4.86
20-04-2021,7.12
21-04-2021,11.49
22-04-2021,32.25
23-04-2021,8.48
24-04-2021,1.34
25-04-2021,2.55
26-04-2021,0.73
27-04-2021,1.04
28-04-2021,1.67
29-04-2021,3.78
30-04-2021,2.86
01-05-2021,4.47
02-05-2021,9.79
03-05-2021,11.46
04-05-2021,8.63
05-05-2021,25.94
06-05-2021,10.54
07-05-2021,8.51
08-05-2021,14.46
09-05-2021,23.36
10-05-2021,10.61
11-05-2021,14
12-05-2021,11.51
13-05-2021,10.29
14-05-2021,13.45
15-05-2021,9.92
16-05-2021,14.48
17-05-2021,13.61
18-05-2021,18.44
19-05-2021,29.39
20-05-2021,33.63
21-05-2021,27.12
22-05-2021,36.5
23-05-2021,25.94
24-05-2021,12.27
25-05-2021,11.39
26-05-2021,54.07
27-05-2021,26.68
28-05-2021,18.42
29-05-2021,13.87
30-05-2021,25.36
31-05-2021,9.26
01-06-2021,7.91
02-06-2021,10.15
03-06-2021,10.61
04-06-2021,13.92
05-06-2021,27.2
06-06-2021,8.96
07-06-2021,4.93
08-06-2021,6.84
09-06-2021,11.5
10-06-2021,12.51
11-06-2021,9.68
12-06-2021,12.73
13-06-2021,15.17
14-06-2021,11.96
15-06-2021,15.65
16-06-2021,23.54
17-06-2021,15.63
18-06-2021,15.42
19-06-2021,17.68
20-06-2021,16.25
21-06-2021,8.12
22-06-2021,4.94
23-06-2021,9.47
24-06-2021,10.52
25-06-2021,7.08
26-06-2021,6.04
27-06-2021,9.88
28-06-2021,6.77
29-06-2021,5
30-06-2021,6.26
01-07-2021,9.28
